Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCM42,OUT035,1673.9839872860641
FDY59,OUT010,207.13050352504655
DRI49,OUT049,1349.512904332131
FDT28,OUT019,471.3068466911765
FDQ22,OUT018,646.0888157894736
FDR60,OUT049,1349.512904332131
FDC50,OUT019,207.13050352504655
FDV24,OUT013,2432.662580732177
DRF48,OUT010,471.3068466911765
FDQ47,OUT046,646.0888157894736
DRN36,OUT049,1559.9736407643313
NCY06,OUT035,2117.4513803278683
FDE52,OUT035,1349.512904332131
NCB54,OUT045,2006.4707423197508
NCF31,OUT035,2432.662580732177
FDJ08,OUT027,5041.821497446804
NCC07,OUT017,1673.9839872860641
NCD19,OUT027,1068.5067658349326
FDL46,OUT049,1892.0661445161302
FDM20,OUT045,3805.948604166663
NCI06,OUT010,471.3068466911765
DRM11,OUT035,4125.17447454068
NCH07,OUT018,2633.83984390244
FDS23,OUT013,2006.4707423197508
FDO49,OUT018,790.3307954098364
FDS35,OUT049,1068.5067658349326
DRK39,OUT045,1349.512904332131
DRI39,OUT049,1068.5067658349326
FDV04,OUT017,2633.83984390244
NCN14,OUT035,3190.6434675824175
FDH08,OUT013,3805.948604166663
FDS20,OUT046,3190.6434675824175
FDV40,OUT049,1068.5067658349326
FDZ48,OUT010,207.13050352504655
FDS24,OUT027,2846.400822516556
FDK44,OUT049,2843.5697892156877
FDS48,OUT045,2432.662580732177
FDK26,OUT010,471.3068466911765
FDD23,OUT045,3190.6434675824175
NCH54,OUT017,2633.83984390244
NCP14,OUT010,207.13050352504655
FDM60,OUT010,207.13050352504655
FDV24,OUT017,2432.662580732177
FDH08,OUT018,3805.948604166663
FDS12,OUT027,2846.400822516556
FDR39,OUT027,5041.821497446804
FDP12,OUT027,646.0888157894736
DRF60,OUT027,5041.821497446804
FDC09,OUT035,1673.9839872860641
FDF50,OUT018,3011.525299159664
FDG28,OUT035,3805.948604166663
NCE19,OUT017,1068.5067658349326
NCM53,OUT010,207.13050352504655
NCN18,OUT049,1673.9839872860641
FDF32,OUT035,3011.525299159664
FDF11,OUT013,3805.948604166663
DRI59,OUT049,3805.948604166663
NCG54,OUT035,2633.83984390244
FDM44,OUT046,1559.9736407643313
FDT57,OUT018,3805.948604166663
FDV24,OUT046,2432.662580732177
FDI50,OUT019,471.3068466911765
FDS09,OUT035,790.3307954098364
NCC31,OUT027,5041.821497446804
FDQ07,OUT019,471.3068466911765
FDC22,OUT017,3011.525299159664
FDZ56,OUT046,2633.83984390244
FDZ40,OUT019,207.13050352504655
FDS46,OUT027,2846.400822516556
DRD24,OUT045,2117.4513803278683
FDV45,OUT017,3190.6434675824175
FDL26,OUT045,2432.662580732177
FDA56,OUT018,2006.4707423197508
FDN27,OUT046,1892.0661445161302
FDM20,OUT049,3805.948604166663
FDO16,OUT017,1349.512904332131
FDL03,OUT035,3011.525299159664
FDE58,OUT046,1892.0661445161302
FDI02,OUT027,2846.400822516556
NCC55,OUT019,207.13050352504655
FDR03,OUT018,3805.948604166663
FDB14,OUT017,1349.512904332131
FDR45,OUT013,3805.948604166663
NCN07,OUT017,2117.4513803278683
FDM51,OUT019,207.13050352504655
FDT52,OUT027,5041.821497446804
FDL26,OUT046,2432.662580732177
NCZ42,OUT046,3805.948604166663
DRI47,OUT019,471.3068466911765
FDW40,OUT013,2117.4513803278683
FDN34,OUT046,2633.83984390244
FDS01,OUT035,2843.5697892156877
NCG55,OUT045,1892.0661445161302
FDC11,OUT035,1349.512904332131
FDX35,OUT018,3549.850947508305
NCB06,OUT046,2633.83984390244
FDR09,OUT019,471.3068466911765
FDC53,OUT017,1559.9736407643313
FDY45,OUT013,4125.17447454068
FDA22,OUT010,471.3068466911765
FDE02,OUT035,1559.9736407643313
FDW21,OUT045,1559.9736407643313
FDV34,OUT046,1068.5067658349326
FDS59,OUT049,1673.9839872860641
NCW17,OUT017,2117.4513803278683
NCK54,OUT046,1892.0661445161302
FDG17,OUT019,471.3068466911765
FDG35,OUT017,2843.5697892156877
FDD08,OUT010,207.13050352504655
NCO07,OUT017,3805.948604166663
FDJ10,OUT010,207.13050352504655
FDW36,OUT017,1673.9839872860641
FDW21,OUT010,207.13050352504655
FDY19,OUT017,1892.0661445161302
DRE03,OUT013,790.3307954098364
NCC55,OUT049,646.0888157894736
FDH52,OUT010,207.13050352504655
FDO09,OUT017,4125.17447454068
FDU43,OUT045,3805.948604166663
FDX09,OUT010,471.3068466911765
FDH40,OUT019,207.13050352504655
FDW58,OUT017,1673.9839872860641
FDC47,OUT017,3549.850947508305
NCR41,OUT035,1559.9736407643313
DRG49,OUT035,3549.850947508305
FDC52,OUT027,5041.821497446804
FDY13,OUT046,1068.5067658349326
FDY35,OUT013,790.3307954098364
FDI35,OUT017,3190.6434675824175
NCU18,OUT049,2117.4513803278683
FDY33,OUT018,2633.83984390244
FDC15,OUT027,5041.821497446804
FDU01,OUT049,3190.6434675824175
NCU42,OUT046,2633.83984390244
NCV29,OUT018,2843.5697892156877
NCY30,OUT017,3190.6434675824175
FDQ46,OUT049,1673.9839872860641
FDG58,OUT027,5041.821497446804
FDK33,OUT017,3805.948604166663
NCD07,OUT045,1892.0661445161302
NCX29,OUT027,5041.821497446804
NCT42,OUT013,2432.662580732177
DRN59,OUT035,790.3307954098364
FDI44,OUT035,1349.512904332131
FDA45,OUT049,2843.5697892156877
FDP31,OUT045,1068.5067658349326
FDY01,OUT046,1892.0661445161302
FDT09,OUT018,2117.4513803278683
DRH03,OUT027,2846.400822516556
FDA36,OUT018,3190.6434675824175
NCF31,OUT017,2432.662580732177
FDG14,OUT049,2432.662580732177
FDG28,OUT027,5041.821497446804
FDU14,OUT049,4125.17447454068
FDY47,OUT019,207.13050352504655
FDI56,OUT049,1349.512904332131
DRD01,OUT013,1068.5067658349326
FDM22,OUT046,1068.5067658349326
FDH33,OUT013,646.0888157894736
DRZ24,OUT013,1892.0661445161302
NCQ38,OUT046,1673.9839872860641
FDO16,OUT027,2846.400822516556
FDU07,OUT027,5041.821497446804
NCB07,OUT013,3011.525299159664
FDU48,OUT045,2117.4513803278683
NCM43,OUT045,2633.83984390244
FDR31,OUT010,471.3068466911765
DRK49,OUT018,646.0888157894736
NCI30,OUT010,471.3068466911765
DRD60,OUT017,3190.6434675824175
NCG19,OUT046,3549.850947508305
FDH12,OUT035,1673.9839872860641
FDM32,OUT035,1349.512904332131
FDM27,OUT035,2432.662580732177
NCU53,OUT027,5041.821497446804
NCQ18,OUT046,1559.9736407643313
FDS10,OUT013,2843.5697892156877
FDB33,OUT027,5041.821497446804
FDI12,OUT013,1349.512904332131
NCW42,OUT013,3805.948604166663
NCC06,OUT018,2117.4513803278683
FDW02,OUT017,2006.4707423197508
NCD43,OUT017,1673.9839872860641
FDM57,OUT018,1349.512904332131
FDA58,OUT017,3549.850947508305
FDK56,OUT046,3190.6434675824175
FDP52,OUT045,3805.948604166663
FDW20,OUT018,2117.4513803278683
FDS52,OUT049,1559.9736407643313
NCT29,OUT018,1892.0661445161302
NCL54,OUT013,2843.5697892156877
FDC05,OUT045,3011.525299159664
FDF34,OUT035,3011.525299159664
FDP03,OUT027,2846.400822516556
FDD32,OUT010,207.13050352504655
FDZ10,OUT045,2117.4513803278683
FDZ40,OUT035,1068.5067658349326
FDD51,OUT018,790.3307954098364
NCY30,OUT019,471.3068466911765
FDP58,OUT017,3549.850947508305
FDV49,OUT017,4125.17447454068
FDY24,OUT019,207.13050352504655
NCO55,OUT017,1673.9839872860641
FDR13,OUT017,1892.0661445161302
FDS51,OUT017,1068.5067658349326
FDP26,OUT045,1673.9839872860641
NCB54,OUT027,2846.400822516556
FDF32,OUT017,3011.525299159664
FDN31,OUT018,3190.6434675824175
DRM48,OUT017,646.0888157894736
FDN20,OUT049,2633.83984390244
DRL01,OUT046,3805.948604166663
FDV56,OUT049,1673.9839872860641
DRH13,OUT027,2846.400822516556
FDA03,OUT017,2432.662580732177
FDF47,OUT027,5041.821497446804
FDX32,OUT046,2432.662580732177
FDX57,OUT049,1559.9736407643313
NCA30,OUT045,3011.525299159664
FDO49,OUT013,790.3307954098364
FDL04,OUT019,207.13050352504655
DRM48,OUT035,646.0888157894736
FDR16,OUT013,3549.850947508305
NCC19,OUT018,3011.525299159664
NCE42,OUT045,3805.948604166663
FDY24,OUT017,1068.5067658349326
FDH19,OUT049,2843.5697892156877
FDJ46,OUT013,2843.5697892156877
FDN45,OUT010,471.3068466911765
FDY08,OUT035,2006.4707423197508
FDZ37,OUT035,1349.512904332131
NCT30,OUT045,790.3307954098364
DRY23,OUT018,646.0888157894736
NCZ30,OUT018,2006.4707423197508
FDC44,OUT018,1892.0661445161302
FDB45,OUT035,1673.9839872860641
FDY04,OUT013,2633.83984390244
FDM27,OUT046,2633.83984390244
FDZ43,OUT017,3805.948604166663
FDT39,OUT019,471.3068466911765
NCC06,OUT019,207.13050352504655
FDL15,OUT027,5041.821497446804
FDL57,OUT017,4125.17447454068
FDU08,OUT046,1559.9736407643313
FDK40,OUT017,4125.17447454068
FDQ12,OUT010,471.3068466911765
FDS48,OUT017,2432.662580732177
FDP09,OUT045,3805.948604166663
FDW21,OUT049,1559.9736407643313
FDY25,OUT035,3190.6434675824175
DRE13,OUT017,1349.512904332131
FDV43,OUT019,207.13050352504655
FDD22,OUT045,1673.9839872860641
FDM46,OUT019,207.13050352504655
NCO30,OUT010,471.3068466911765
FDM25,OUT046,2843.5697892156877
NCN41,OUT049,2117.4513803278683
FDU24,OUT045,1349.512904332131
FDZ50,OUT046,3190.6434675824175
FDP45,OUT013,4125.17447454068
NCM54,OUT045,2117.4513803278683
FDW10,OUT019,471.3068466911765
FDP20,OUT017,2117.4513803278683
FDK32,OUT046,2432.662580732177
FDN52,OUT049,1349.512904332131
FDM58,OUT045,1673.9839872860641
FDZ46,OUT027,2846.400822516556
NCA18,OUT018,1892.0661445161302
FDD35,OUT046,2006.4707423197508
NCK31,OUT035,790.3307954098364
FDI40,OUT027,2846.400822516556
FDT50,OUT019,207.13050352504655
NCT06,OUT046,2633.83984390244
FDT31,OUT035,3190.6434675824175
FDT45,OUT049,1068.5067658349326
FDT13,OUT045,3190.6434675824175
FDO50,OUT045,1349.512904332131
NCU18,OUT010,207.13050352504655
NCR54,OUT049,3011.525299159664
NCO18,OUT018,2843.5697892156877
FDU09,OUT045,1068.5067658349326
FDT13,OUT018,3190.6434675824175
FDE09,OUT046,1673.9839872860641
NCK53,OUT019,207.13050352504655
FDG45,OUT049,3805.948604166663
DRH15,OUT035,790.3307954098364
FDO21,OUT019,471.3068466911765
FDD14,OUT027,5041.821497446804
FDC09,OUT046,1673.9839872860641
FDH45,OUT027,646.0888157894736
FDV32,OUT046,1068.5067658349326
FDG12,OUT035,1892.0661445161302
FDS32,OUT013,2117.4513803278683
NCL55,OUT018,4125.17447454068
DRE01,OUT035,3549.850947508305
DRE15,OUT049,1349.512904332131
NCL42,OUT045,3805.948604166663
FDP31,OUT013,1068.5067658349326
FDN33,OUT018,1349.512904332131
FDZ59,OUT046,2633.83984390244
FDE45,OUT010,471.3068466911765
FDJ07,OUT013,1892.0661445161302
FDQ45,OUT018,3190.6434675824175
FDM33,OUT027,5041.821497446804
FDO15,OUT010,207.13050352504655
FDM46,OUT013,1349.512904332131
FDR03,OUT045,3805.948604166663
FDY49,OUT018,2633.83984390244
FDQ60,OUT045,1892.0661445161302
FDW10,OUT049,2843.5697892156877
FDO51,OUT049,790.3307954098364
FDJ40,OUT018,1673.9839872860641
FDS20,OUT018,3190.6434675824175
FDU45,OUT013,1892.0661445161302
FDV02,OUT035,2633.83984390244
FDN09,OUT046,3805.948604166663
NCM55,OUT027,5041.821497446804
FDN23,OUT018,2432.662580732177
FDY31,OUT010,471.3068466911765
FDW03,OUT010,207.13050352504655
FDD14,OUT046,3190.6434675824175
FDV23,OUT017,2006.4707423197508
DRI03,OUT045,2843.5697892156877
FDN13,OUT035,1559.9736407643313
FDF45,OUT027,1068.5067658349326
FDU46,OUT035,1349.512904332131
FDB57,OUT049,3805.948604166663
FDV12,OUT049,1559.9736407643313
FDQ58,OUT013,2432.662580732177
NCA18,OUT017,1892.0661445161302
FDH52,OUT049,1068.5067658349326
FDM24,OUT018,2432.662580732177
NCP43,OUT027,5041.821497446804
NCO18,OUT019,471.3068466911765
FDM32,OUT017,1349.512904332131
NCL07,OUT017,646.0888157894736
FDK03,OUT013,4125.17447454068
FDP59,OUT017,1673.9839872860641
FDQ24,OUT049,4125.17447454068
FDQ16,OUT018,1673.9839872860641
FDU44,OUT013,2633.83984390244
FDH28,OUT010,207.13050352504655
FDV28,OUT019,207.13050352504655
FDM22,OUT045,1068.5067658349326
FDR56,OUT046,3011.525299159664
FDV39,OUT049,3011.525299159664
FDU37,OUT019,207.13050352504655
FDQ11,OUT010,471.3068466911765
FDX02,OUT045,3805.948604166663
NCS42,OUT018,1349.512904332131
FDY57,OUT027,2846.400822516556
FDB21,OUT049,3549.850947508305
FDE28,OUT017,3549.850947508305
FDQ55,OUT017,1892.0661445161302
FDA48,OUT049,3549.850947508305
FDZ19,OUT045,2843.5697892156877
NCC43,OUT045,4125.17447454068
NCV18,OUT046,1349.512904332131
NCA42,OUT018,2633.83984390244
FDY45,OUT046,4125.17447454068
NCC30,OUT045,2843.5697892156877
FDM57,OUT013,1349.512904332131
FDL09,OUT010,471.3068466911765
FDB09,OUT027,2846.400822516556
FDT44,OUT035,1892.0661445161302
NCT06,OUT027,5041.821497446804
FDX26,OUT049,3190.6434675824175
FDK32,OUT013,2432.662580732177
DRA12,OUT046,2006.4707423197508
FDO46,OUT010,471.3068466911765
FDE52,OUT013,1349.512904332131
NCH42,OUT045,3805.948604166663
FDV08,OUT035,646.0888157894736
FDB47,OUT018,3549.850947508305
FDC28,OUT010,207.13050352504655
FDD22,OUT046,1892.0661445161302
FDS07,OUT027,2846.400822516556
DRI13,OUT045,3805.948604166663
FDG32,OUT018,3549.850947508305
FDU14,OUT017,4125.17447454068
FDD28,OUT019,207.13050352504655
NCP41,OUT017,1673.9839872860641
FDS08,OUT049,2843.5697892156877
FDX47,OUT045,2633.83984390244
FDC53,OUT019,207.13050352504655
FDQ19,OUT035,3805.948604166663
FDL14,OUT045,2432.662580732177
FDM33,OUT019,471.3068466911765
FDA51,OUT045,1892.0661445161302
FDZ27,OUT018,790.3307954098364
FDT04,OUT046,646.0888157894736
DRC13,OUT049,2006.4707423197508
FDR16,OUT027,5041.821497446804
FDQ03,OUT027,5041.821497446804
FDE38,OUT035,2633.83984390244
DRH23,OUT027,1068.5067658349326
FDT11,OUT019,471.3068466911765
FDD09,OUT035,2843.5697892156877
FDR40,OUT045,1349.512904332131
FDX07,OUT017,3190.6434675824175
FDR07,OUT035,1559.9736407643313
FDA51,OUT017,1892.0661445161302
FDT59,OUT019,471.3068466911765
FDF20,OUT017,3011.525299159664
FDR13,OUT045,1892.0661445161302
FDY26,OUT049,3805.948604166663
FDW04,OUT017,2006.4707423197508
FDK52,OUT017,3549.850947508305
FDN60,OUT049,2633.83984390244
FDM09,OUT019,471.3068466911765
FDP46,OUT049,1349.512904332131
FDB50,OUT019,207.13050352504655
NCQ29,OUT049,4125.17447454068
FDP16,OUT027,5041.821497446804
FDX33,OUT018,2633.83984390244
FDP07,OUT010,471.3068466911765
FDN22,OUT046,4125.17447454068
FDF39,OUT049,4125.17447454068
FDS21,OUT017,1068.5067658349326
NCM42,OUT013,1673.9839872860641
FDK50,OUT019,471.3068466911765
DRF13,OUT027,5041.821497446804
FDH35,OUT018,2633.83984390244
FDP60,OUT018,1559.9736407643313
DRJ49,OUT027,2846.400822516556
NCT42,OUT019,471.3068466911765
FDE38,OUT049,2633.83984390244
FDI04,OUT049,3011.525299159664
NCH54,OUT045,2633.83984390244
FDT56,OUT049,1068.5067658349326
DRD15,OUT018,3805.948604166663
FDV58,OUT013,3011.525299159664
FDP21,OUT049,3190.6434675824175
FDH05,OUT013,3549.850947508305
FDR10,OUT027,5041.821497446804
NCP06,OUT045,2432.662580732177
FDF33,OUT049,1673.9839872860641
DRK37,OUT013,3190.6434675824175
DRH49,OUT045,1349.512904332131
FDT58,OUT013,2633.83984390244
FDD41,OUT018,1673.9839872860641
FDP40,OUT018,1673.9839872860641
FDM51,OUT027,2846.400822516556
FDO45,OUT010,207.13050352504655
FDW33,OUT010,207.13050352504655
FDY24,OUT045,1068.5067658349326
FDB10,OUT010,471.3068466911765
FDM40,OUT035,2006.4707423197508
NCI06,OUT017,3190.6434675824175
FDW12,OUT019,471.3068466911765
FDX48,OUT027,5041.821497446804
NCW05,OUT027,2846.400822516556
FDX27,OUT017,1559.9736407643313
DRM37,OUT045,3011.525299159664
FDA38,OUT045,3805.948604166663
FDR36,OUT046,646.0888157894736
FDZ45,OUT046,3011.525299159664
FDG05,OUT017,2633.83984390244
FDK28,OUT013,4125.17447454068
FDV47,OUT045,1349.512904332131
FDN21,OUT045,2633.83984390244
FDP20,OUT027,2846.400822516556
FDI35,OUT045,3190.6434675824175
DRY23,OUT013,646.0888157894736
FDA56,OUT017,2006.4707423197508
FDB09,OUT013,2117.4513803278683
NCO26,OUT027,2846.400822516556
FDQ49,OUT018,2432.662580732177
FDI52,OUT027,2846.400822516556
FDZ44,OUT027,2846.400822516556
FDZ09,OUT018,2633.83984390244
FDY03,OUT049,1892.0661445161302
NCG42,OUT017,2117.4513803278683
DRI13,OUT027,5041.821497446804
FDQ32,OUT013,2117.4513803278683
FDW16,OUT035,1349.512904332131
FDU27,OUT046,790.3307954098364
FDR28,OUT010,471.3068466911765
FDQ49,OUT010,471.3068466911765
FDS37,OUT046,1892.0661445161302
FDW26,OUT018,3549.850947508305
FDX12,OUT018,3805.948604166663
NCP06,OUT013,2432.662580732177
FDW45,OUT010,471.3068466911765
NCN30,OUT049,1559.9736407643313
FDN24,OUT049,1068.5067658349326
NCL41,OUT027,646.0888157894736
FDR02,OUT019,207.13050352504655
FDD09,OUT010,471.3068466911765
FDS33,OUT010,207.13050352504655
FDU22,OUT045,1892.0661445161302
FDI53,OUT013,2633.83984390244
DRH01,OUT049,2843.5697892156877
FDX32,OUT013,2117.4513803278683
NCP30,OUT018,646.0888157894736
FDB60,OUT045,3011.525299159664
FDB14,OUT049,1349.512904332131
NCP02,OUT035,1068.5067658349326
FDJ10,OUT017,2006.4707423197508
FDG34,OUT046,1673.9839872860641
NCB18,OUT017,1349.512904332131
FDM16,OUT049,1068.5067658349326
FDW25,OUT018,1349.512904332131
FDB35,OUT010,207.13050352504655
DRN11,OUT013,2006.4707423197508
FDF41,OUT019,471.3068466911765
FDH16,OUT045,1349.512904332131
NCQ50,OUT018,3805.948604166663
DRH23,OUT018,1068.5067658349326
DRJ37,OUT013,2432.662580732177
DRJ24,OUT027,5041.821497446804
FDY16,OUT035,3190.6434675824175
FDQ27,OUT045,1673.9839872860641
FDZ33,OUT045,2432.662580732177
FDF29,OUT045,2117.4513803278683
FDA08,OUT049,2633.83984390244
FDG31,OUT046,1068.5067658349326
FDE34,OUT019,471.3068466911765
NCR30,OUT027,1068.5067658349326
FDV33,OUT035,4125.17447454068
DRZ24,OUT018,2006.4707423197508
NCL54,OUT035,2843.5697892156877
FDR12,OUT049,2843.5697892156877
NCC54,OUT046,3549.850947508305
DRN59,OUT013,790.3307954098364
FDX50,OUT019,207.13050352504655
FDV31,OUT027,5041.821497446804
NCA29,OUT027,5041.821497446804
FDW60,OUT049,2843.5697892156877
FDX08,OUT017,3190.6434675824175
DRD49,OUT013,3549.850947508305
FDD33,OUT046,3549.850947508305
FDW35,OUT013,646.0888157894736
FDJ36,OUT017,1673.9839872860641
FDV51,OUT035,2633.83984390244
FDW36,OUT046,1673.9839872860641
FDH35,OUT046,2633.83984390244
NCS30,OUT027,2846.400822516556
FDN49,OUT017,646.0888157894736
FDL08,OUT018,3805.948604166663
FDI09,OUT013,3549.850947508305
FDP19,OUT018,2006.4707423197508
FDU21,OUT010,207.13050352504655
NCP41,OUT045,1673.9839872860641
FDY10,OUT013,1892.0661445161302
FDP12,OUT018,646.0888157894736
NCN26,OUT049,1892.0661445161302
FDK44,OUT013,2843.5697892156877
FDC28,OUT049,1673.9839872860641
FDJ41,OUT027,5041.821497446804
NCT29,OUT035,2006.4707423197508
NCH42,OUT019,471.3068466911765
FDU60,OUT018,2633.83984390244
FDS02,OUT045,3011.525299159664
FDC51,OUT046,2006.4707423197508
FDU03,OUT013,3190.6434675824175
FDX39,OUT045,3805.948604166663
NCY05,OUT010,207.13050352504655
NCL06,OUT027,5041.821497446804
FDD32,OUT035,1349.512904332131
NCN41,OUT045,2117.4513803278683
NCX53,OUT049,2117.4513803278683
FDU57,OUT019,471.3068466911765
FDQ23,OUT046,1673.9839872860641
FDQ52,OUT045,4125.17447454068
FDC14,OUT045,646.0888157894736
FDY09,OUT035,2843.5697892156877
FDQ28,OUT045,2432.662580732177
FDV25,OUT046,3805.948604166663
FDJ07,OUT035,1892.0661445161302
DRB25,OUT049,1673.9839872860641
FDK52,OUT019,471.3068466911765
FDY52,OUT027,1068.5067658349326
FDB28,OUT046,3011.525299159664
FDT36,OUT035,646.0888157894736
FDV25,OUT017,3805.948604166663
NCN07,OUT027,2846.400822516556
FDC57,OUT017,3011.525299159664
FDQ03,OUT018,3549.850947508305
FDU23,OUT017,2633.83984390244
NCX41,OUT035,3805.948604166663
NCD06,OUT035,790.3307954098364
FDW08,OUT045,1673.9839872860641
NCU29,OUT017,2432.662580732177
NCE06,OUT013,2633.83984390244
FDV52,OUT010,207.13050352504655
FDB02,OUT017,2843.5697892156877
NCR18,OUT045,646.0888157894736
FDK16,OUT049,1559.9736407643313
NCQ29,OUT010,471.3068466911765
FDZ01,OUT019,207.13050352504655
FDW27,OUT035,2633.83984390244
FDD17,OUT018,3805.948604166663
FDW39,OUT013,2843.5697892156877
DRH59,OUT045,1068.5067658349326
FDS52,OUT013,1559.9736407643313
FDU40,OUT027,5041.821497446804
NCF54,OUT013,2843.5697892156877
FDH46,OUT045,1673.9839872860641
NCP14,OUT049,1673.9839872860641
FDH50,OUT049,3190.6434675824175
DRF15,OUT010,471.3068466911765
FDV27,OUT027,2846.400822516556
NCJ06,OUT049,2117.4513803278683
FDN02,OUT018,3549.850947508305
FDQ51,OUT049,790.3307954098364
FDQ07,OUT017,3549.850947508305
FDS45,OUT049,1673.9839872860641
NCJ06,OUT045,2117.4513803278683
FDD36,OUT035,1892.0661445161302
FDY25,OUT045,3190.6434675824175
FDU52,OUT046,2432.662580732177
DRK47,OUT017,3549.850947508305
NCL30,OUT017,2117.4513803278683
FDN22,OUT035,4125.17447454068
NCF30,OUT027,2846.400822516556
FDK03,OUT035,4125.17447454068
FDT45,OUT017,1068.5067658349326
NCC54,OUT027,5041.821497446804
FDP08,OUT018,3011.525299159664
FDU44,OUT046,2633.83984390244
DRG39,OUT035,1068.5067658349326
FDU32,OUT049,2006.4707423197508
